album,track_title,track_url,track_views
American Gangster,Fallin' (Ft. Bilal),https://genius.com/Jay-z-fallin-lyrics,51.7K
American Gangster,Blue Magic (Ft. Pharrell Williams),https://genius.com/Jay-z-blue-magic-lyrics,93.3K
American Gangster,American Gangster,https://genius.com/Jay-z-american-gangster-lyrics,49.9K
Kingdom Come,The Prelude (Ft. Pain In Da Ass),https://genius.com/Jay-z-the-prelude-lyrics,74.7K
Kingdom Come,Oh My God,https://genius.com/Jay-z-oh-my-god-lyrics,50.5K
Kingdom Come,Kingdom Come,https://genius.com/Jay-z-kingdom-come-lyrics,56.2K
Kingdom Come,Show Me What You Got,https://genius.com/Jay-z-show-me-what-you-got-lyrics,68.6K
Kingdom Come,Lost One (Ft. Chrisette Michele),https://genius.com/Jay-z-lost-one-lyrics,368K
Kingdom Come,Do U Wanna Ride (Ft. John Legend),https://genius.com/Jay-z-do-u-wanna-ride-lyrics,68.3K
Kingdom Come,30 Something,https://genius.com/Jay-z-30-something-lyrics,113.5K
Kingdom Come,I Made It,https://genius.com/Jay-z-i-made-it-lyrics,20.2K
Kingdom Come,Anything (2006) (Ft. Pharrell Williams & Usher),https://genius.com/Jay-z-anything-2006-lyrics,11.2K
Kingdom Come,Hollywood (Ft. Beyoncé),https://genius.com/Jay-z-hollywood-lyrics,27.2K
Kingdom Come,Trouble,https://genius.com/Jay-z-trouble-lyrics,55.2K
Kingdom Come,Dig a Hole (Ft. Sterling Simms),https://genius.com/Jay-z-dig-a-hole-lyrics,45.1K
Kingdom Come,Minority Report (Ft. Ne-Yo),https://genius.com/Jay-z-minority-report-lyrics,27.1K
Kingdom Come,Beach Chair (Ft. Chris Martin),https://genius.com/Jay-z-beach-chair-lyrics,123.8K
Kingdom Come,44 Four's,https://genius.com/Jay-z-44-fours-lyrics,38.7K
S. Carter The Re-Mix,99 Problems Video (Interlude),,(Missing Lyrics)
S. Carter The Re-Mix,Flow,https://genius.com/Jay-z-flow-lyrics,8.7K
S. Carter The Re-Mix,PSA (Remix),,(Missing Lyrics)
S. Carter The Re-Mix,Dec 4th (Remix),,(Missing Lyrics)
S. Carter The Re-Mix,P. Diddy Interlude,,(Missing Lyrics)
S. Carter The Re-Mix,Warm It Up,https://genius.com/Jay-z-warm-it-up-lyrics,
S. Carter The Re-Mix,Michael Jordan Interlude,,(Missing Lyrics)
S. Carter The Re-Mix,Encore (Remix),,(Missing Lyrics)
S. Carter The Re-Mix,Hell Yeah (Remix) by Dead Prez (Ft. JAY-Z),https://genius.com/Dead-prez-hell-yeah-remix-lyrics,31.2K
S. Carter The Re-Mix,Looking @ My S Dots,https://genius.com/Jay-z-looking-at-my-s-dots-lyrics,
S. Carter The Re-Mix,Moment of Clarity (Remix),,(Missing Lyrics)
S. Carter The Re-Mix,99 Problems (Remix),,(Missing Lyrics)
S. Carter The Re-Mix,Where I'm From (DJ Green Lantern Mix) (Ft. Beanie Sigel),https://genius.com/Jay-z-where-im-from-dj-green-lantern-mix-lyrics,
S. Carter The Re-Mix,Denzel Washington Interlude,,(Missing Lyrics)
S. Carter The Re-Mix,Allure (Just Blaze Remix),https://genius.com/Jay-z-allure-just-blaze-remix-lyrics,
S. Carter The Re-Mix,"Get By (Remix) by Talib Kweli (Ft. Busta Rhymes, JAY-Z, Kanye West & Yasiin Bey)",https://genius.com/Talib-kweli-get-by-remix-lyrics,45.4K
S. Carter The Re-Mix,Threat (Remix) [Interlude],,(Missing Lyrics)
S. Carter The Re-Mix,Reebok (Interlude) (Ft. 50 Cent),https://genius.com/Jay-z-reebok-interlude-lyrics,
S. Carter The Re-Mix,My 1st Song (Remix),,(Missing Lyrics)
The Black Album,Interlude,https://genius.com/Jay-z-interlude-lyrics,33.7K
The Black Album,December 4th,https://genius.com/Jay-z-december-4th-lyrics,258.7K
The Black Album,What More Can I Say,https://genius.com/Jay-z-what-more-can-i-say-lyrics,300.6K
The Black Album,Encore,https://genius.com/Jay-z-encore-lyrics,357.9K
The Black Album,Change Clothes (Ft. Pharrell Williams),https://genius.com/Jay-z-change-clothes-lyrics,144.1K
The Black Album,Dirt Off Your Shoulder,https://genius.com/Jay-z-dirt-off-your-shoulder-lyrics,297.5K
The Black Album,Threat,https://genius.com/Jay-z-threat-lyrics,148.1K
The Black Album,Moment of Clarity,https://genius.com/Jay-z-moment-of-clarity-lyrics,382.4K
The Black Album,99 Problems,https://genius.com/Jay-z-99-problems-lyrics,1.1M
The Black Album,Public Service Announcement,https://genius.com/Jay-z-public-service-announcement-lyrics,700.2K
The Black Album,Justify My Thug,https://genius.com/Jay-z-justify-my-thug-lyrics,115.7K
The Black Album,Lucifer,https://genius.com/Jay-z-lucifer-lyrics,412.7K
The Black Album,Allure,https://genius.com/Jay-z-allure-lyrics,187.6K
The Black Album,My 1st Song,https://genius.com/Jay-z-my-1st-song-lyrics,191.2K
The S. Carter Collection,Young Gifted and Black,https://genius.com/Jay-z-young-gifted-and-black-lyrics,14.8K
The S. Carter Collection,Pump It Up Freestyle,https://genius.com/Jay-z-pump-it-up-freestyle-lyrics,34.9K
The S. Carter Collection,Only a Customer,https://genius.com/Jay-z-only-a-customer-lyrics,12K
The S. Carter Collection,Baby Freestyle (Ft. Beyoncé),https://genius.com/Jay-z-baby-freestyle-lyrics,
The S. Carter Collection,"Bump, Bump, Bump (Freestyle)",https://genius.com/Jay-z-bump-bump-bump-freestyle-lyrics,14.3K
The S. Carter Collection,I Don't Wanna Be Alone (Remix) by Shai (Ft. JAY-Z),https://genius.com/Shai-i-dont-wanna-be-alone-remix-lyrics,
The S. Carter Collection,Notorious B.I.G. Interview,https://genius.com/Jay-z-notorious-big-interview-lyrics,
The S. Carter Collection,Laser In Ya Ear (Freestyle),https://genius.com/Jay-z-laser-in-ya-ear-freestyle-lyrics,
The S. Carter Collection,"Young G's by Diddy (Ft. JAY-Z, Kelly Price & The Notorious B.I.G.)",https://genius.com/Diddy-young-gs-lyrics,77.3K
The S. Carter Collection,Russell Simmons Skit,https://genius.com/Jay-z-russell-simmons-skit-lyrics,
The S. Carter Collection,If I Can't (Freestyle),https://genius.com/Jay-z-if-i-cant-freestyle-lyrics,21.5K
The S. Carter Collection,This Life Forever,https://genius.com/Jay-z-this-life-forever-lyrics,22.9K
The S. Carter Collection,OG Skit,https://genius.com/Jay-z-og-skit-lyrics,
The S. Carter Collection,Rock Star Freestyle,https://genius.com/Jay-z-rock-star-freestyle-lyrics,
The S. Carter Collection,You Rock My World (Track Masters Mix) by Michael Jackson (Ft. JAY-Z),https://genius.com/Michael-jackson-you-rock-my-world-track-masters-mix-lyrics,8.6K
The S. Carter Collection,It's Like That (Ft. Kid Capri),https://genius.com/Jay-z-its-like-that-lyrics,32K
The S. Carter Collection,Beware (Jay-Z Remix),https://genius.com/Jay-z-beware-jay-z-remix-lyrics,46.1K
The S. Carter Collection,"Can't Knock The Hustle (The S. Carter Collection Remix) (Ft. 2Pac, Busta Rhymes, Mariah Carey & Mary J. Blige)",https://genius.com/Jay-z-cant-knock-the-hustle-the-s-carter-collection-remix-lyrics,
The S. Carter Collection,In My Lifetime (Remix),https://genius.com/Jay-z-in-my-lifetime-remix-lyrics,34.9K
The S. Carter Collection,Blunts and Armadale (Freestyle),https://genius.com/Jay-z-blunts-and-armadale-freestyle-lyrics,6.1K
The S. Carter Collection,A Word from the President,https://genius.com/Jay-z-a-word-from-the-president-lyrics,
The S. Carter Collection,La-La-La (Excuse Me Miss Again),https://genius.com/Jay-z-la-la-la-excuse-me-miss-again-lyrics,60.6K
The S. Carter Collection,Stop 2.1,https://genius.com/Jay-z-stop-21-lyrics,5.1K
The S. Carter Collection,I Miss You (Remix),https://genius.com/Jay-z-i-miss-you-remix-lyrics,
Blueprint 2.1,A Dream (Ft. Faith Evans & The Notorious B.I.G.),https://genius.com/Jay-z-a-dream-lyrics,120.2K
Blueprint 2.1,Hovi Baby,https://genius.com/Jay-z-hovi-baby-lyrics,69.7K
Blueprint 2.1,"The Watcher 2 (Ft. Dr. Dre, Rakim & Truth Hurts)",https://genius.com/Jay-z-the-watcher-2-lyrics,110.9K
Blueprint 2.1,'03 Bonnie & Clyde (Ft. Beyoncé),https://genius.com/Jay-z-03-bonnie-and-clyde-lyrics,572.7K
Blueprint 2.1,Excuse Me Miss (Ft. Pharrell Williams),https://genius.com/Jay-z-excuse-me-miss-lyrics,273.3K
Blueprint 2.1,All Around the World (Ft. Latoiya Williams),https://genius.com/Jay-z-all-around-the-world-lyrics,33.7K
Blueprint 2.1,Guns & Roses (Ft. Lenny Kravitz),https://genius.com/Jay-z-guns-and-roses-lyrics,55K
Blueprint 2.1,U Don't Know (Remix) (Ft. M.O.P.),https://genius.com/Jay-z-u-dont-know-remix-lyrics,40.9K
Blueprint 2.1,Meet the Parents,https://genius.com/Jay-z-meet-the-parents-lyrics,66.6K
Blueprint 2.1,Some How Some Way (Ft. Beanie Sigel & Scarface),https://genius.com/Jay-z-some-how-some-way-lyrics,39.4K
Blueprint 2.1,The Bounce (Ft. Kanye West),https://genius.com/Jay-z-the-bounce-lyrics,118.5K
Blueprint 2.1,What They Gonna Do Part II,https://genius.com/Jay-z-what-they-gonna-do-part-ii-lyrics,9.9K
Blueprint 2.1,Stop 2.1,https://genius.com/Jay-z-stop-21-lyrics,5.1K
Blueprint 2.1,Beware (Jay-Z Remix),https://genius.com/Jay-z-beware-jay-z-remix-lyrics,46.1K
Blueprint 2.1,La-La-La (Excuse Me Miss Again),https://genius.com/Jay-z-la-la-la-excuse-me-miss-again-lyrics,60.7K
Blueprint 2.1,Blueprint²,https://genius.com/Jay-z-blueprint2-lyrics,322.4K
Blueprint 2.1,Bitches & Sisters,https://genius.com/Jay-z-bitches-and-sisters-lyrics,65K
The Blueprint²: The Gift & the Curse,A Dream (Ft. Faith Evans & The Notorious B.I.G.),https://genius.com/Jay-z-a-dream-lyrics,120.2K
The Blueprint²: The Gift & the Curse,Hovi Baby,https://genius.com/Jay-z-hovi-baby-lyrics,69.7K
The Blueprint²: The Gift & the Curse,"The Watcher 2 (Ft. Dr. Dre, Rakim & Truth Hurts)",https://genius.com/Jay-z-the-watcher-2-lyrics,110.9K
The Blueprint²: The Gift & the Curse,'03 Bonnie & Clyde (Ft. Beyoncé),https://genius.com/Jay-z-03-bonnie-and-clyde-lyrics,572.5K
The Blueprint²: The Gift & the Curse,Excuse Me Miss (Ft. Pharrell Williams),https://genius.com/Jay-z-excuse-me-miss-lyrics,273.2K
The Blueprint²: The Gift & the Curse,What They Gonna Do (Ft. Sean Paul),https://genius.com/Jay-z-what-they-gonna-do-lyrics,13.5K
The Blueprint²: The Gift & the Curse,All Around the World (Ft. Latoiya Williams),https://genius.com/Jay-z-all-around-the-world-lyrics,33.7K
The Blueprint²: The Gift & the Curse,"Poppin' Tags (Ft. Big Boi, Killer Mike & Twista)",https://genius.com/Jay-z-poppin-tags-lyrics,53.9K
The Blueprint²: The Gift & the Curse,Fuck All Nite (Ft. Pharrell Williams),https://genius.com/Jay-z-fuck-all-nite-lyrics,46.7K
The Blueprint²: The Gift & the Curse,The Bounce (Ft. Kanye West),https://genius.com/Jay-z-the-bounce-lyrics,118.4K
The Blueprint²: The Gift & the Curse,I Did It My Way,https://genius.com/Jay-z-i-did-it-my-way-lyrics,39.5K
The Blueprint²: The Gift & the Curse,Diamond Is Forever,https://genius.com/Jay-z-diamond-is-forever-lyrics,51.2K
The Blueprint²: The Gift & the Curse,Guns & Roses (Ft. Lenny Kravitz),https://genius.com/Jay-z-guns-and-roses-lyrics,55K
The Blueprint²: The Gift & the Curse,U Don't Know (Remix) (Ft. M.O.P.),https://genius.com/Jay-z-u-dont-know-remix-lyrics,40.9K
The Blueprint²: The Gift & the Curse,Meet the Parents,https://genius.com/Jay-z-meet-the-parents-lyrics,66.6K
The Blueprint²: The Gift & the Curse,Some How Some Way (Ft. Beanie Sigel & Scarface),https://genius.com/Jay-z-some-how-some-way-lyrics,39.4K
The Blueprint²: The Gift & the Curse,Some People Hate,https://genius.com/Jay-z-some-people-hate-lyrics,42.2K
The Blueprint²: The Gift & the Curse,Blueprint²,https://genius.com/Jay-z-blueprint2-lyrics,322.3K
The Blueprint²: The Gift & the Curse,Nigga Please (Ft. Pharrell Williams & Young Chris),https://genius.com/Jay-z-nigga-please-lyrics,26.9K
The Blueprint²: The Gift & the Curse,2 Many Hoes (Ft. Timbaland),https://genius.com/Jay-z-2-many-hoes-lyrics,17.6K
The Blueprint²: The Gift & the Curse,"As One (Ft. Beanie Sigel, Freeway, Memphis Bleek, Omillio Sparks, Peedi Crakk, Rell & Young Gunz)",https://genius.com/Jay-z-as-one-lyrics,11.4K
The Blueprint²: The Gift & the Curse,A Ballad for the Fallen Soldier,https://genius.com/Jay-z-a-ballad-for-the-fallen-soldier-lyrics,15.9K
The Blueprint²: The Gift & the Curse,Show You How,https://genius.com/Jay-z-show-you-how-lyrics,64.2K
The Blueprint²: The Gift & the Curse,Bitches & Sisters,https://genius.com/Jay-z-bitches-and-sisters-lyrics,65K
The Blueprint²: The Gift & the Curse,What They Gonna Do Part II,https://genius.com/Jay-z-what-they-gonna-do-part-ii-lyrics,9.9K
MTV Unplugged,Izzo (H.O.V.A.) [MTV Unplugged],https://genius.com/Jay-z-izzo-hova-mtv-unplugged-lyrics,
MTV Unplugged,Takeover (MTV Unplugged),https://genius.com/Jay-z-takeover-mtv-unplugged-lyrics,
MTV Unplugged,"Girls, Girls, Girls (MTV Unplugged)",https://genius.com/Jay-z-girls-girls-girls-mtv-unplugged-lyrics,
MTV Unplugged,"Jigga What, Jigga Who (MTV Unplugged)",https://genius.com/Jay-z-jigga-what-jigga-who-mtv-unplugged-lyrics,
MTV Unplugged,Big Pimpin' (MTV Unplugged),https://genius.com/Jay-z-big-pimpin-mtv-unplugged-lyrics,
MTV Unplugged,Heart of the City (Ain't No Love) (MTV Unplugged) (Ft. Jaguar Wright),https://genius.com/Jay-z-heart-of-the-city-aint-no-love-mtv-unplugged-lyrics,
MTV Unplugged,Can I Get A… (MTV Unplugged),https://genius.com/Jay-z-can-i-get-a-mtv-unplugged-lyrics,6.3K
MTV Unplugged,Hard Knock Life (MTV Unplugged) (Ft. Jaguar Wright),https://genius.com/Jay-z-hard-knock-life-mtv-unplugged-lyrics,
MTV Unplugged,Ain't No (MTV Unplugged),https://genius.com/Jay-z-aint-no-mtv-unplugged-lyrics,
MTV Unplugged,Can't Knock the Hustle / Family Affair (MTV Unplugged) (Ft. Mary J. Blige),https://genius.com/Jay-z-cant-knock-the-hustle-family-affair-mtv-unplugged-lyrics,
MTV Unplugged,Song Cry (MTV Unplugged),https://genius.com/Jay-z-song-cry-mtv-unplugged-lyrics,
MTV Unplugged,I Just Wanna Love U (Give It 2 Me) (MTV Unplugged) (Ft. Pharrell Williams),https://genius.com/Jay-z-i-just-wanna-love-u-give-it-2-me-mtv-unplugged-lyrics,
MTV Unplugged,Jigga That N**** (MTV Unplugged) (Ft. The Roots),https://genius.com/Jay-z-jigga-that-n-mtv-unplugged-lyrics,
MTV Unplugged,People Talkin',https://genius.com/Jay-z-people-talkin-lyrics,36.5K
The Blueprint,The Ruler's Back,https://genius.com/Jay-z-the-rulers-back-lyrics,149.2K
The Blueprint,Takeover,https://genius.com/Jay-z-takeover-lyrics,858.9K
The Blueprint,Izzo (H.O.V.A.),https://genius.com/Jay-z-izzo-hova-lyrics,515.5K
The Blueprint,"Girls, Girls, Girls",https://genius.com/Jay-z-girls-girls-girls-lyrics,331.4K
The Blueprint,Jigga That Nigga,https://genius.com/Jay-z-jigga-that-nigga-lyrics,82.8K
The Blueprint,U Don't Know,https://genius.com/Jay-z-u-dont-know-lyrics,357.4K
The Blueprint,Hola' Hovito,https://genius.com/Jay-z-hola-hovito-lyrics,114.6K
The Blueprint,Heart of the City (Ain't No Love),https://genius.com/Jay-z-heart-of-the-city-aint-no-love-lyrics,344.3K
The Blueprint,Never Change,https://genius.com/Jay-z-never-change-lyrics,224K
The Blueprint,Song Cry,https://genius.com/Jay-z-song-cry-lyrics,697.2K
The Blueprint,All I Need,https://genius.com/Jay-z-all-i-need-lyrics,132.5K
The Blueprint,Renegade (Ft. Eminem),https://genius.com/Jay-z-renegade-lyrics,1M
The Blueprint,Blueprint (Momma Loves Me),https://genius.com/Jay-z-blueprint-momma-loves-me-lyrics,141.2K
The Blueprint,Breathe Easy (Lyrical Exercise),https://genius.com/Jay-z-breathe-easy-lyrical-exercise-lyrics,92.3K
The Blueprint,"Girls, Girls, Girls, Pt. 2",https://genius.com/Jay-z-girls-girls-girls-pt-2-lyrics,92.7K
The Dynasty: Roc La Familia 2000,The Dynasty (Intro),https://genius.com/Jay-z-the-dynasty-intro-lyrics,124.9K
The Dynasty: Roc La Familia 2000,Change the Game (Ft. Beanie Sigel & Memphis Bleek),https://genius.com/Jay-z-change-the-game-lyrics,28.8K
The Dynasty: Roc La Familia 2000,I Just Wanna Love U (Give it 2 Me) (Ft. Pharrell Williams),https://genius.com/Jay-z-i-just-wanna-love-u-give-it-2-me-lyrics,332.9K
The Dynasty: Roc La Familia 2000,Streets Is Talking by JAY-Z & Beanie Sigel,https://genius.com/Jay-z-and-beanie-sigel-streets-is-talking-lyrics,41.5K
The Dynasty: Roc La Familia 2000,This Can't Be Life by JAY-Z & Beanie Sigel (Ft. Scarface),https://genius.com/Jay-z-and-beanie-sigel-this-cant-be-life-lyrics,157.5K
The Dynasty: Roc La Familia 2000,Get Your Mind Right Mami by JAY-Z & Memphis Bleek (Ft. Snoop Dogg),https://genius.com/Jay-z-and-memphis-bleek-get-your-mind-right-mami-lyrics,32.9K
